SK_ID_CURR,opaque_group_id,lane,source_row,AMT_INSTALMENT,AMT_PAYMENT,VALID_MASK
DEMO_005,0,0,0,8000.0,7600.0,1
DEMO_005,0,1,1,8200.0,8300.0,1
DEMO_005,0,2,2,7800.0,7000.0,1
DEMO_005,0,3,3,9000.0,9000.0,1
DEMO_005,0,4,4,12000.0,11000.0,1
DEMO_005,0,5,5,6500.0,6800.0,1
DEMO_005,0,6,6,5000.0,4500.0,1
DEMO_005,0,7,7,15000.0,14250.0,1
DEMO_005,0,8,8,10000.0,10500.0,1
DEMO_005,0,9,9,7200.0,7000.0,1
DEMO_005,0,10,,0.0,0.0,0
DEMO_005,0,11,,0.0,0.0,0
DEMO_005,0,12,,0.0,0.0,0
DEMO_005,0,13,,0.0,0.0,0
DEMO_005,0,14,,0.0,0.0,0
DEMO_005,0,15,,0.0,0.0,0
